ƒ,Long_Title,Subtitle,Currency,ISA_eligible,ISIN,MIC,Symbol,Fractional_Enabled,PLUS_only,for_Ireland_investors,for_Netherlands_investors,DUTCH_KIID_URL
Sec Newgate,Sec Newgate,Public relations,GBP,TRUE,IT0005200453,XLON,SECG,FALSE,TRUE,TRUE,TRUE,
XLMedia,Xlmedia plc,Digital publishing,GBP,TRUE,JE00BH6XDL31,XLON,XLM,FALSE,TRUE,TRUE,TRUE,
Sanne Group,Sanne Group plc,Company admin,GBP,TRUE,JE00BVRZ8S85,XLON,SNN,FALSE,FALSE,TRUE,TRUE,
Invinity Energy,Invinity Energy Systems plc,Batteries,GBP,TRUE,JE00BLR94N79,XLON,IES,FALSE,TRUE,TRUE,TRUE,
Physical Silver,WisdomTree Physical Silver,Silver,GBP,TRUE,JE00B1VS3333,XLON,PHSP,FALSE,FALSE,TRUE,TRUE,
WPP,WPP plc,Advertising,GBP,TRUE,JE00B8KF9B49,XLON,WPP,FALSE,FALSE,TRUE,TRUE,
Aptiv,Aptiv plc,Auto parts,USD,TRUE,JE00B783TY65,XNYS,APTV,TRUE,FALSE,TRUE,TRUE,
WNS Global,WNS Global,Consultanting,USD,FALSE,US92932M1018,XNYS,WNS,TRUE,FALSE,TRUE,TRUE,
Janus Henderson,Janus Henderson,Asset management,USD,TRUE,JE00BYPZJM29,XNYS,JHG,TRUE,FALSE,TRUE,TRUE,
Man Group,Man Group plc,Hedge funds,GBP,TRUE,JE00BJ1DLW90,XLON,EMG,FALSE,FALSE,TRUE,TRUE,
JTC,JTC plc,Fund services,GBP,TRUE,JE00BF4X3P53,XLON,JTC,FALSE,TRUE,TRUE,TRUE,
NovoCure,NovoCure Ltd,Cancer treatment,USD,TRUE,JE00BYSS4X48,XNAS,NVCR,TRUE,FALSE,TRUE,TRUE,
Ferguson,Ferguson plc,Plumbing Supplies,GBP,TRUE,JE00BJVNSS43,XLON,FERG,FALSE,FALSE,TRUE,TRUE,
WANdisco,Wandisco plc,Data migration,GBP,TRUE,JE00B6Y3DV84,XLON,WAND,FALSE,TRUE,TRUE,TRUE,
Yellow Cake,Yellow Cake plc,Uranium,GBP,TRUE,JE00BF50RG45,XLON,YCA,FALSE,FALSE,TRUE,TRUE,
Safestyle UK,Safestyle UK plc,Double glazing,GBP,TRUE,JE00BGP63272,XLON,SFE,FALSE,TRUE,TRUE,TRUE,
Asian Income,Aberdeen Asian Income Fund Ltd,Investment fund,GBP,TRUE,GB00B0P6J834,XLON,AAIF,FALSE,TRUE,FALSE,FALSE,
IWG,IWG Plc,Office space,GBP,TRUE,JE00BYVQYS01,XLON,IWG,FALSE,FALSE,TRUE,TRUE,
GCP Infrastructure,GCP Infrastructure Investments Ltd,Infrastructure trust,GBP,TRUE,JE00B6173J15,XLON,GCP,FALSE,FALSE,FALSE,FALSE,
PS Deutschland,Phoenix Spree Deutschland Ltd,Investment fund,GBP,TRUE,JE00B248KJ21,XLON,PSDL,FALSE,TRUE,FALSE,FALSE,
Boohoo,Boohoo Group plc,Online fashion,GBP,TRUE,JE00BG6L7297,XLON,BOO,FALSE,FALSE,TRUE,TRUE,
Petrofac,Petrofac Ltd,Oil and gas services,GBP,TRUE,GB00B0H2K534,XLON,PFC,FALSE,FALSE,TRUE,TRUE,
New City High Yield,CQS New City High Yield Fund Ltd,Investment fund,GBP,TRUE,JE00B1LZS514,XLON,NCYF,FALSE,TRUE,FALSE,FALSE,
Quotient,Quotient Ltd,Diagnostics,USD,TRUE,JE00BLG2ZQ72,XNAS,QTNT,TRUE,FALSE,TRUE,TRUE,
Polymetal,Polymetal International plc,Precious metals mining,GBP,TRUE,JE00B6T5S470,XLON,POLY,FALSE,FALSE,TRUE,TRUE,
3i Infrastructure,3i Infrastructure plc,Infrastructure,GBP,TRUE,JE00BF5FX167,XLON,3IN,FALSE,FALSE,TRUE,TRUE,
Experian,Experian plc,Credit checks,GBP,TRUE,GB00B19NLV48,XLON,EXPN,FALSE,FALSE,TRUE,TRUE,
Mysale Group,Mysale Group plc,Ecommerce,GBP,TRUE,JE00BMH4MR96,XLON,MYSL,FALSE,TRUE,TRUE,TRUE,
Breedon,Breedon Group plc,Concrete products,GBP,TRUE,JE00B2419D89,XLON,BREE,FALSE,FALSE,TRUE,TRUE,
Glencore,Glencore plc,Commodities,GBP,TRUE,JE00B4T3BW64,XLON,GLEN,FALSE,FALSE,TRUE,TRUE,
Canon,Canon Inc (ADR),TVs and cameras,USD,TRUE,US1380063099,XNAS,CAJ,TRUE,FALSE,TRUE,TRUE,
Sony,Sony Corp (ADR),Electronics and entertainment,USD,TRUE,US8356993076,XNYS,SNE,TRUE,FALSE,TRUE,TRUE,
Honda,Honda Motor Company Ltd (ADR),Cars,USD,TRUE,US4381283088,XNYS,HMC,TRUE,FALSE,TRUE,TRUE,
SMFG,Sumitomo Mitsui Financial Group Inc,Japanese bank,USD,TRUE,US86562M2098,XNYS,SMFG,TRUE,FALSE,TRUE,TRUE,
Gravity,Gravity Co Ltd (ADR),Video games,USD,FALSE,US38911N2062,XNAS,GRVY,TRUE,FALSE,TRUE,TRUE,
POSCO,POSCO Co Ltd (ADR),Steelmaking,USD,TRUE,US6934831099,XNAS,PKX,TRUE,FALSE,TRUE,TRUE,
Sapiens Int'l Corp,Sapiens International Corporation N.V.,Insurance software,USD,TRUE,KYG7T16G1039,XNAS,SPNS,TRUE,FALSE,TRUE,TRUE,
Trip.com,Trip.com Grp Ltd (ADR),Online travel booking,USD,FALSE,US89677Q1076,XNAS,TCOM,TRUE,FALSE,TRUE,TRUE,
Jinko Solar,Jinko Solar,Solar panels,USD,FALSE,US47759T1007,XNYS,JKS,TRUE,FALSE,TRUE,TRUE,
Ruhnn Holding,Ruhnn Holding Ltd (ADR),Fashion influencers,USD,FALSE,US7813141097,XNAS,RUHN,TRUE,FALSE,TRUE,TRUE,
Himax Tech,"Himax Technologies, Inc. (ADR)",Semiconductors,USD,FALSE,US43289P1066,XNAS,HIMX,TRUE,FALSE,TRUE,TRUE,
500.com,500.Com Limited (ADR),Gambling,USD,FALSE,US33829R1005,XNYS,WBAI,TRUE,FALSE,TRUE,TRUE,
Manchester United,Manchester United plc,Football club,USD,TRUE,KYG5784H1065,XNYS,MANU,TRUE,FALSE,TRUE,TRUE,
Sunlands,Sunlands Online Education Group (ADR),Education,USD,FALSE,US86740P1084,XNYS,STG,TRUE,FALSE,TRUE,TRUE,
SiliconMotion,Silicon Motion Technology Corporation (ADR),Flash controllers,USD,FALSE,US82706C1080,XNAS,SIMO,TRUE,FALSE,TRUE,TRUE,
GreenTree Inns,GreenTree Hospitality Group Ltd (ADR),Hotels,USD,FALSE,US39579V1008,XNYS,GHG,TRUE,FALSE,TRUE,TRUE,
China Distance Ed,China Distance Education Holdings Ltd (ADR),Online learning,USD,FALSE,US16944W1045,XNYS,DL,TRUE,FALSE,TRUE,TRUE,
Autohome,Autohome,Chinese Autotrader,USD,FALSE,US05278C1071,XNYS,ATHM,TRUE,FALSE,TRUE,TRUE,
NetEase,NetEase Inc (ADR),Video games,USD,FALSE,US64110W1027,XNAS,NTES,TRUE,FALSE,TRUE,TRUE,
Arco,Arco,Education,USD,FALSE,KYG045531061,XNAS,ARCE,TRUE,FALSE,TRUE,TRUE,
Melco,Melco Crown Entertainment Limited (ADR),Casinos,USD,FALSE,US5854641009,XNAS,MLCO,TRUE,FALSE,TRUE,TRUE,
Smart Global,Smart Global Holdings Inc,Data storage,USD,TRUE,KYG8232Y1017,XNAS,SGH,TRUE,TRUE,TRUE,TRUE,
Ichor Holdings,Ichor Holdings Ltd,Semiconductors,USD,TRUE,KYG4740B1059,XNAS,ICHR,TRUE,TRUE,TRUE,TRUE,
Social Capital III,Social Capital Hedosophia Holdings Corp III,Tech investment SPAC,USD,TRUE,KYG8251K1233,XNYS,IPOC,TRUE,FALSE,TRUE,TRUE,
StoneCo,StoneCo Ltd,Payments,USD,TRUE,KYG851581069,XNAS,STNE,TRUE,FALSE,TRUE,TRUE,
Yatra,"Yatra Online, Inc.",Travel agents,USD,TRUE,KYG983381099,XNAS,YTRA,TRUE,FALSE,TRUE,TRUE,
PagSeguro,Pagseguro Digital Ltd,Brazilian Paypal,USD,TRUE,KYG687071012,XNYS,PAGS,TRUE,FALSE,TRUE,TRUE,
Huya,HUYA Inc (ADR),Video game streaming,USD,FALSE,US44852D1081,XNYS,HUYA,TRUE,FALSE,TRUE,TRUE,
Hailiang Education,Hailiang Education,Schools,USD,FALSE,US40522L1089,XNAS,HLG,TRUE,FALSE,TRUE,TRUE,
Baidu,Baidu Inc (ADR),Chinese Google,USD,FALSE,US0567521085,XNAS,BIDU,TRUE,FALSE,TRUE,TRUE,
Momo,Momo Inc (ADR),Chinese Tinder,USD,FALSE,US60879B1070,XNAS,MOMO,TRUE,FALSE,TRUE,TRUE,
Farfetch,Farfetch Ltd,Fashion retailer,USD,TRUE,KY30744W1070,XNYS,FTCH,TRUE,FALSE,TRUE,TRUE,
Bilibili,Bilibili Inc (ADR),Chinese YouTube,USD,FALSE,US0900401060,XNAS,BILI,TRUE,FALSE,TRUE,TRUE,
Social Capital III,Social Capital Hedosophia Holdings Corp III,Clover Health,USD,TRUE,KYG8251K1076,XNYS,IPOC,TRUE,FALSE,TRUE,TRUE,
FinVolution,FinVolution Group (ADR),Fintech,USD,FALSE,US31810T1016,XNYS,FINV,TRUE,FALSE,TRUE,TRUE,
Tencent Music,Tencent Music Entertainment Group (ADR),Chinese Spotify,USD,FALSE,US88034P1093,XNYS,TME,TRUE,FALSE,TRUE,TRUE,
Jaws Acquisition,Jaws Acquisition Corporation,Barry Sternlicht's SPAC,USD,TRUE,KYG507441049,XNYS,JWS,TRUE,FALSE,TRUE,TRUE,
LexinFintech,LexinFintech Holdings Ltd (ADR),Loans,USD,FALSE,US5288771034,XNAS,LX,TRUE,FALSE,TRUE,TRUE,
CooTek,CooTek (Cayman) Inc. (ADR),Smartphone tech,USD,FALSE,US21718L1026,XNYS,CTK,TRUE,FALSE,TRUE,TRUE,
LightInTheBox,"LightInTheBox Holding Co., Ltd. (ADR)",Ecommerce,USD,FALSE,US53225G1022,XNYS,LITB,TRUE,FALSE,TRUE,TRUE,
Futu Holdings,Futu Holdings Limited (ADR),Chinese Freetrade,USD,FALSE,US36118L1061,XNAS,FUTU,TRUE,FALSE,TRUE,TRUE,
NIO,NIO Inc,Chinese Tesla,USD,FALSE,US62914V1061,XNYS,NIO,TRUE,FALSE,TRUE,TRUE,
Leju Holdings,Leju Holdings Ltd. (ADR),Real estate sales,USD,FALSE,US50187J1088,XNYS,LEJU,TRUE,FALSE,TRUE,TRUE,
Tuniu Corp,Tuniu Corporation (ADR),Packaged holidays,USD,FALSE,US89977P1066,XNAS,TOUR,TRUE,FALSE,TRUE,TRUE,
Vasta Platform,Vasta Platform Ltd,E-learning,USD,FALSE,KYG9440A1094,XNAS,VSTA,TRUE,FALSE,TRUE,TRUE,
Fabrinet,Fabrinet,Manufacturing,USD,TRUE,KYG3323L1005,XNYS,FN,TRUE,TRUE,TRUE,TRUE,
Jupai Holdings,Jupai Holdings Limited (ADR),Investment firm,USD,FALSE,US48205B1070,XNYS,JP,TRUE,FALSE,TRUE,TRUE,
Chi-Med,Hutchison China MediTech Ltd,Medicine,GBP,TRUE,KYG4672N1198,XLON,HCM,FALSE,FALSE,TRUE,TRUE,
Huazhu,Huazhu Group Ltd (ADR),Hotels,USD,FALSE,US44332N1063,XNAS,HTHT,TRUE,FALSE,TRUE,TRUE,
Uxin,Uxin Limited (ADR),Chinese Autotrader,USD,FALSE,US91818X1081,XNAS,UXIN,TRUE,FALSE,TRUE,TRUE,
iQIYI,iQIYI Inc (ADR),Chinese YouTube,USD,FALSE,US46267X1081,XNAS,IQ,TRUE,FALSE,TRUE,TRUE,
